month,title,prefecture,address,lat,lon
201801,プログラミング勉強部屋　1月16日（ほぼ毎週開催）,東京都,102-0093　　東京都千代田区平河町1-4-3  (平河町伏見ビル 2F),35.682820300000,139.739030000000
201801,プログラミング勉強部屋　1月9日（ほぼ毎週開催）,東京都,102-0093　　東京都千代田区平河町1-4-3  (平河町伏見ビル 2F),35.682820300000,139.739030000000
201801,【初心者向け】Python+Jupyterで学ぶ機械学習プログラミング #2,東京都,東京都渋谷区代々木４丁目２８−８ (代々木村田マンション 711),35.682893800000,139.690567800000
201801,GAE (Go/Python) もくもく勉強会 in 横浜タネマキ vol.49,神奈川県,神奈川県横浜市西区岡野1-3-10 (サニーコート横浜 1F),35.461116800000,139.615507400000
201801,Python入門~pyQで覚えるPythonもくもく会~,,東京都 千代田区紀尾井町1-3(東京ガーデンテラス紀尾井町 ヤフー株式会社),,
201801,PyFukuoka もくもく会 #1,福岡県,福岡県福岡市中央区天神1-2-4 農業共済ビル 3階会議室,33.588893500000,130.401808200000
201801,QuantX説明会,東京都,東京都渋谷区恵比寿４丁目４−１,35.645607300000,139.711339300000
201801,第24回 Pythonもくもく会,東京都,東京都港区北青山3丁目3番7号 第一青山ビル3階,35.672881600000,139.723631700000
201801,ちがさき de Python,神奈川県,神奈川県茅ヶ崎市十間坂 1-4-2,35.330723600000,139.401633300000
201801,[秋葉原][とらのあな] オタク×Python勉強会(第2回) 1/30 火,東京都,東京都千代田区外神田4-7-3 秋葉原虎ビル7F,35.702659500000,139.771950600000
201801,Geek Bar #5「Python × ブロックチェーン」,東京都,新宿区西新宿7-12-12 (SAGIYA Bldg. 3F),35.694101000000,139.696055700000
201801,【初・中級者向け】ランダムフォレストとアンサンブル学習 #1,東京都,東京都渋谷区代々木４丁目２８−８ (代々木村田マンション 711),35.682893800000,139.690567800000
201801,Python入門~pyQで覚えるPythonもくもく会~,,場所 方南町駅から徒歩5分 東京都杉並区方南２−３−２６ 日野コーポ 1階 ,,
201801,[秋葉原] Fluent Python 輪読&勉強会 (9章 Pythonicなオブジェクト),東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,みんなのPython勉強会リモート中継 in GEEKLAB.NAGANO　#24,長野県,長野県長野市南県町県都ビル６F,36.649238900000,138.182391500000
201801,デザインパターン勉強会,熊本県,866-0074 熊本県八代市平山新町2627,32.476842900000,130.606852600000
201801,Pycamp 埼玉：振り返りミーティング(オンライン),,,,
201801,[Math & Coding #03]オンライン ベイズ学習の基礎/機械学習論文 2017振り返り,大阪府,大阪市中央区備後町2丁目4-10 8F,34.685424800000,135.504770600000
201801,[秋葉原] ゼロから作るDeep Learning 輪読勉強会(4章 ニューラルネットワークの学習),東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,Plone研究会第57期 #2,東京都,東京都台東区東上野1-11-1 (GOSHO春日通り9F),35.707590800000,139.778459800000
201801,#pycamp神奈川事前ミーティング(オンライン),,,,
201801,fin-pyもくもく会 #11,東京都,東京都中央区新川一丁目17番21号　茅場町ファーストビル3階,35.678081300000,139.784139500000
201801,第104回技術者交流会（D-Alley）,東京都,東京都渋谷区桜丘町3-24　カコー桜丘ビル　3階,35.656719900000,139.702046600000
201801,広島Web系の会　教えあい＆もくもく会 #3,広島県,広島市中区広瀬北町3-11,34.403340200000,132.448550600000
201801,Deep Learningの基礎,沖縄県,沖縄県沖縄市中央1-7-8,26.336795700000,127.800439200000
201801,Pythonもくもく自習室(書き初め) #6 @ Rettyオフィス,東京都,東京都港区三田一丁目4番1号 (住友不動産麻布十番ビル3F),35.653293300000,139.741211400000
201801,岡山自作AIの会,岡山県,岡山県総社市窪木111(8904),34.691430600000,133.779155400000
201802,Python Boot Camp in 金沢,石川県,〒920-0855 金沢市武蔵町14番31号（4F）,36.571411000000,136.654555500000
201802,渋谷で IT・AI セミナー開催！！,東京都,渋谷区渋谷2-12-13八千代ビル8階 TOMO PARTNERS内 CREATOR'S HIVE,35.658650000000,139.707964000000
201802,【初心者・1人参加歓迎】ProLabo(プロラボ)もくもく会(Web系)#2,東京都,東京都渋谷区 道玄坂1-16-10 渋谷DTビル8階,35.656632000000,139.697319700000
201802,みんなのPython勉強会リモート中継 in GEEKLAB.NAGANO # 2018.6,長野県,長野県長野市南県町県都ビル６F,36.649238900000,138.182391500000
201802,第6杯目 UDONPy もくもく会,香川県,香川県高松市内町1-13 (日新内町ビル6F),34.346843200000,134.050521000000
201802,みんなのPython勉強会リモート中継 in GEEKLAB.NAGANO # 2018.5,長野県,長野県長野市南県町県都ビル６F,36.649238900000,138.182391500000
201802,神戸Pythonの会 Meetup #15,兵庫県,神戸市中央区京町72番地(新クレセントビル10F),34.689908000000,135.193219800000
201802,Laravel MeetUp Okinawa 第5回,沖縄県,沖縄県沖縄市中央１丁目１６−９,26.337095700000,127.800244700000
201802,IT技術者わいわい交流会,東京都,東京都千代田区飯田橋4-8-13,35.701396100000,139.746039800000
201802,BPStudy#126〜組織の守りを考える,東京都,東京都渋谷区代々木1-32-11,35.682583100000,139.702016700000
201802,[秋葉原] Pythonではじめる機械学習勉強会 「パイプラインとテキストデータの処理」,東京都,東京都千代田区神田須田町２丁目１９−２３  (野村第３ビル４階),35.696575200000,139.771830100000
201802,ハンズオンで始める初めての「Deep Learning」,,大阪市淡路町4-2-15,,
201802,【 2/27(火)赤坂見附 】 フリーランスエンジニア向け 個別相談会 ＜参加特典あり＞,東京都,東京都港区赤坂3-16-11(東海赤坂ビル5F),35.674858100000,139.736822000000
201802,PyLadies Tokyo - スタッフミーティング #13,東京都,東京都千代田区東紺屋町30 サンハイツ北村ビル710号室 ,35.693017600000,139.774593100000
201802,【初心者向け】2時間で速習！機械学習プログラミング入門,東京都,〒150-8510 東京都渋谷区2−21−1 渋谷ヒカリエ 17F,35.659104100000,139.703742000000
